genres,imdb_score,movie_or_tv,rated,resp_stat,resp_url,rg_score,seasons,title,website,year_end,year_start
documentary,5.4,movie,7+ (PG),200,https://reelgood.com/movie/what-happened-on-september-11-2019,41,,What Happened on September 11,HBO Max,30 minutes,2019
"reality,documentary",8.6,show,All (TV-G),200,https://reelgood.com/show/kindergarten-2001,43,2,Kindergarten,HBO Max,2001,2001
"thriller,drama,mystery",6.5,movie,18+ (R),200,https://reelgood.com/movie/dirty-war-2004,45,,Dirty War,HBO Max,,2004
"comedy,documentary",7.2,movie,16+,200,https://reelgood.com/movie/solitary-2016-2,45,,Solitary,HBO Max,,2016
drama,9.3,movie,7+ (PG),200,https://reelgood.com/movie/el-astronauta-2018,47,,El Astronauta,HBO Max,18 minutes,2018
"documentary,biography",7.3,movie,7+ (PG),200,https://reelgood.com/movie/any-one-of-us-2019,48,,Any One of Us,HBO Max,,2019
"fantasy,family,action-and-adventure,drama,musical,animation",5.2,movie,All (G),200,https://reelgood.com/movie/the-adventures-of-pinocchio-1996,50,,The Adventures of Pinocchio,HBO Max,,1996
documentary,6.6,show,14+ (TV-14),200,https://reelgood.com/show/united-shades-of-america-2016,52,4,United Shades of America,HBO Max,2020,2016
"documentary,crime,drama",7.5,movie,13+ (PG-13),200,https://reelgood.com/movie/i-love-you-now-die-the-commonwealth-v-michelle-carter-2019,53,,"I Love You, Now Die: The Commonwealth v. Michelle Carter",HBO Max,,2019
"documentary,stand-up-and-talk,comedy",7.6,movie,18+ (R),200,https://reelgood.com/movie/carrie-fisher-wishful-drinking-2010,55,,Carrie Fisher: Wishful Drinking,HBO Max,,2010
"action & adventure,comedy",6.2,movie,13+ (PG-13),200,https://reelgood.com/movie/three-fugitives-1989,55,,Three Fugitives,HBO Max,,1989
documentary,7.9,movie,7+ (PG),200,https://reelgood.com/movie/a-girl-in-the-river-the-price-of-forgiveness-2015,56,,A Girl in the River: The Price of Forgiveness,HBO Max,43 minutes,2015
"animation,action-and-adventure,comedy,family,fantasy,horror,mystery,science-fiction,thriller",5.1,movie,7+ (PG),200,https://reelgood.com/movie/scooby-doo-2-monsters-unleashed-2004,59,,Scooby-Doo 2: Monsters Unleashed,HBO Max,,2004
documentary,7.6,movie,13+ (PG-13),200,https://reelgood.com/movie/becoming-warren-buffett-2017,58,,Becoming Warren Buffett,HBO Max,,2017
"animation,action-and-adventure,fantasy,science-fiction",7.3,movie,13+ (PG-13),200,https://reelgood.com/movie/wonder-woman-2009,61,,Wonder Woman,HBO Max,,2009
"animation,comedy,crime,family,mystery",7.1,show,All (TV-G),200,https://reelgood.com/show/the-sylvester-tweety-mysteries-1995,62,5,The Sylvester & Tweety Mysteries,HBO Max,2002,1995
"biography,drama,romance",6.6,movie,13+ (PG-13),200,https://reelgood.com/movie/freeheld-2015,64,,Freeheld,HBO Max,,2015
"comedy,drama,fantasy,action-and-adventure,romance,science-fiction",7.5,show,14+ (TV-14),200,https://reelgood.com/show/being-erica-2009,64,4,Being Erica,HBO Max,2011,2009
"comedy,drama",6.8,show,14+ (TV-14),200,https://reelgood.com/show/divorce-2016,64,3,Divorce,HBO Max,2019,2016
documentary,7.5,movie,All (G),200,https://reelgood.com/movie/well-groomed-2019,64,,Well Groomed,HBO Max,,2019
"animation,children,comedy,family,science-fiction",7,show,7+ (TV-PG),200,https://reelgood.com/show/the-jetsons-1962,65,3,The Jetsons,HBO Max,2002,1962
"action-and-adventure,drama,thriller,history",6.7,movie,18+ (R),200,https://reelgood.com/movie/against-the-wall-1994,65,,Against the Wall,HBO Max,,1994
